wiktionary-cldr-merge	guj	http://wiktionary.org/	CC BY-SA
00173220-a	guj:lemma	સગર્ભા	
00325281-a	guj:lemma	સાવધાન	
00372111-a	guj:lemma	ભૂરો	
00372111-a	guj:lemma	બદામી	
00375969-a	guj:lemma	લીલા	
00385756-a	guj:lemma	પીળો	
00393105-a	guj:lemma	સફેદ	
00395626-a	guj:lemma	લાલ	
00744916-a	guj:lemma	કઠિન	
01010862-a	guj:lemma	પહેલો	
01123148-a	guj:lemma	સારી	
01251128-a	guj:lemma	ઠંડું	
01646941-a	guj:lemma	યુવાન	
01730060-a	guj:lemma	ઐતિહાસિક	
01783158-a	guj:lemma	ધાર્મિક	
02609813-a	guj:lemma	આલ્બાનિયન	
02923510-a	guj:lemma	મુસ્લિમ	
02923510-a	guj:lemma	મુસલમાન	
02923510-a	guj:lemma	મુસલમાની	
03078234-a	guj:lemma	કશ્મીરી	
00017222-n	guj:lemma	છોડ	
00154433-n	guj:lemma	દસ્તાવેજ	
00181781-n	guj:lemma	ચૂંટણી	
00476389-n	guj:lemma	ક્રિકેટ	
00501304-n	guj:lemma	સ્નૂકર	
00757080-n	guj:lemma	પાપ	
00759694-n	guj:lemma	આતંકવાદ	
00844254-n	guj:lemma	મૈથુન	
00844254-n	guj:lemma	સેક્સ	
00854876-n	guj:lemma	મુખ	
00854876-n	guj:lemma	મૈથુન	
00855674-n	guj:lemma	હસ્તમૈથુન	
00973077-n	guj:lemma	યુદ્ધ	
01041835-n	guj:lemma	મદ્ય	
01482330-n	guj:lemma	શાર્ક	
01503061-n	guj:lemma	પનખિદ	
01613294-n	guj:lemma	ગરુડ	
01639765-n	guj:lemma	દેડકો	
01792158-n	guj:lemma	કૂકડો	
01816887-n	guj:lemma	પોપટ	
01937909-n	guj:lemma	જળો	
02062744-n	guj:lemma	વહેલ	
02062744-n	guj:lemma	માછલી	
02084071-n	guj:lemma	કુતરો	
02084071-n	guj:lemma	કુતરી	
02084071-n	guj:lemma	કુતરાઓ	
02084071-n	guj:lemma	કુતરીઓ	
02114100-n	guj:lemma	ભેડીયો	
02121620-n	guj:lemma	બિલાડી	
02121620-n	guj:lemma	બિલાડો	
02129165-n	guj:lemma	સિંહ	
02131653-n	guj:lemma	રીંછ	
02206856-n	guj:lemma	મધમાખી	
02219486-n	guj:lemma	કીડી	
02274259-n	guj:lemma	પતંગિયું	
02274259-n	guj:lemma	ફૂદું	
02324045-n	guj:lemma	સસલું	
02330245-n	guj:lemma	ઉંદર	
02374451-n	guj:lemma	ઘોડો	
02405302-n	guj:lemma	યાક	
02411705-n	guj:lemma	ઘેટું	
02419796-n	guj:lemma	કાળિયાર	
02419796-n	guj:lemma	કૃષ્ણમૃગ	
02437136-n	guj:lemma	ઊંટ	
02439033-n	guj:lemma	જિરાફ	
02472293-n	guj:lemma	મનુષ્ય	
02503517-n	guj:lemma	હાથી	
02512053-n	guj:lemma	માછલી	
02691156-n	guj:lemma	વિમાન	
02777100-n	guj:lemma	તુલા	
02800497-n	guj:lemma	ભોંયરું	
02807731-n	guj:lemma	બાથરૂમમાં	
02814860-n	guj:lemma	દીવાદાંડી	
02818832-n	guj:lemma	બિછાનું	
02818832-n	guj:lemma	શય્યા	
02834778-n	guj:lemma	સાઇકલ	
02858304-n	guj:lemma	નાવ	
02876657-n	guj:lemma	બાટલી	
02898711-n	guj:lemma	પુલ	
02924116-n	guj:lemma	બસ	
02928608-n	guj:lemma	બટન	
02949691-n	guj:lemma	ગાંજો	
02962545-n	guj:lemma	કાર્ડ	
03028079-n	guj:lemma	ચર્ચ	
03030663-n	guj:lemma	સિગારેટ	
03032252-n	guj:lemma	ચલચિત્રપટ	
03074855-n	guj:lemma	કાંસકી	
03088164-n	guj:lemma	કોંડોમ	
03112099-n	guj:lemma	પડાળી	
03221720-n	guj:lemma	દ્વાર	
03282295-n	guj:lemma	દૂતાવાસ	
03354903-n	guj:lemma	ધ્વજ	
03542333-n	guj:lemma	હોટેલ	
03542333-n	guj:lemma	હોટલ	
03544360-n	guj:lemma	ઘર	
03613294-n	guj:lemma	ચાવી	
03623556-n	guj:lemma	છરી	
03636649-n	guj:lemma	દીવો	
03636649-n	guj:lemma	લેમ્પ	
03682487-n	guj:lemma	તાળું	
03788195-n	guj:lemma	મસ્જિદ	
03815615-n	guj:lemma	નેકટાઈ	
03841666-n	guj:lemma	કાર્યાલય	
03874599-n	guj:lemma	તાળું	
03936568-n	guj:lemma	ગોળી	
04005630-n	guj:lemma	તુરંગ	
04153751-n	guj:lemma	સ્ક્રૂ	
04194289-n	guj:lemma	જહાજ	
04199027-n	guj:lemma	જૂતા	
04253437-n	guj:lemma	સાબુ	
04264914-n	guj:lemma	અંતરિક્ષયાન	
04284002-n	guj:lemma	ચમચો	
04373894-n	guj:lemma	તલવાર	
04373894-n	guj:lemma	શમશેર	
04376876-n	guj:lemma	સિરિંજ	
04401088-n	guj:lemma	દૂરબોલ	
04401088-n	guj:lemma	ટેલિફોન	
04401088-n	guj:lemma	દૂરભાષ	
04407435-n	guj:lemma	મંદિર	
04424418-n	guj:lemma	વસ્તુ	
04442831-n	guj:lemma	તમાકુ	
04452848-n	guj:lemma	દાંત	
04565375-n	guj:lemma	શસ્ત્ર	
04574999-n	guj:lemma	ચક્ર	
04587648-n	guj:lemma	બારી	
04960729-n	guj:lemma	સફેદ	
04981139-n	guj:lemma	ધ્વનિ	
05121418-n	guj:lemma	નંબર	
05301072-n	guj:lemma	જીભ	
05302499-n	guj:lemma	મુખ	
05305806-n	guj:lemma	હોઠ	
05311054-n	guj:lemma	આંખ	
