wiktionary-cldr-merge	kal	http://wiktionary.org/	CC BY-SA
00095280-a	kal:lemma	toqu	
00113818-a	kal:lemma	ninngappoq	
00379595-a	kal:lemma	aappalujappoq	
00381097-a	kal:lemma	aappalajappoq	
00381097-a	kal:lemma	aappaluarpoq	
00395626-a	kal:lemma	aappalajaarpoq	
00395626-a	kal:lemma	aapaluppoq	
00784533-a	kal:lemma	agguarneqarsinnaasoq	
01382086-a	kal:lemma	angisooq	
02959553-a	kal:lemma	Finskisut	
03039087-a	kal:lemma	Hebræerisut	
00007846-n	kal:lemma	inuk	
00015388-n	kal:lemma	uumasoq	
00017222-n	kal:lemma	naasoq	
00499924-n	kal:lemma	billardi	
00504660-n	kal:lemma	bingo	
00528667-n	kal:lemma	balletti	
00948868-n	kal:lemma	atoqqiineq	
01171644-n	kal:lemma	panaanneq	
01322604-n	kal:lemma	qimmiaraq	
01325658-n	kal:lemma	aagiaq	
01348530-n	kal:lemma	bakteria	
01444339-n	kal:lemma	nimeriarluk	
01482330-n	kal:lemma	eqalussuaq	
01503061-n	kal:lemma	timmiaq	
01613294-n	kal:lemma	nattoralik	
01796340-n	kal:lemma	aqisseq	
01858441-n	kal:lemma	qussuk	
01896561-n	kal:lemma	qivioq	
01963571-n	kal:lemma	uiloq	
02007558-n	kal:lemma	aapalualuk	
02062744-n	kal:lemma	arfeq	
02064000-n	kal:lemma	arfivik	
02064816-n	kal:lemma	tunnulik	
02065026-n	kal:lemma	tikaagulliusaaq	
02065263-n	kal:lemma	tikaagulliusaarnaq	
02065407-n	kal:lemma	tikaagullik	
02065726-n	kal:lemma	qipoqqaq	
02067240-n	kal:lemma	kigutilissuaq	
02071294-n	kal:lemma	aarluk	
02071636-n	kal:lemma	niisarnaq	
02072493-n	kal:lemma	qilalugaq	
02072493-n	kal:lemma	qernertaq	
02072798-n	kal:lemma	qilalugaq	
02072798-n	kal:lemma	qaqortaq	
02076196-n	kal:lemma	puisi	
02081571-n	kal:lemma	aaveq	
02081571-n	kal:lemma	aaffaffak	
02084071-n	kal:lemma	qimmeq	
02121620-n	kal:lemma	qitsuk	
02129604-n	kal:lemma	tiigeri	
02131653-n	kal:lemma	nanoq	
02132136-n	kal:lemma	allaq	
02134084-n	kal:lemma	nanoq	
02134084-n	kal:lemma	nanoq	
02134084-n	kal:lemma	qaqortoq	
02139199-n	kal:lemma	imangertaq	
02206856-n	kal:lemma	igutsak	
02330245-n	kal:lemma	teriaq	
02374451-n	kal:lemma	hiisti	
02398521-n	kal:lemma	imermiutarsuaq	
02411705-n	kal:lemma	sava	
