wiktionary-cldr-merge	tam	http://wiktionary.org/	CC BY-SA
00210848-a	tam:lemma	சொட்டை	
00273082-a	tam:lemma	இருள்	
00279332-a	tam:lemma	ஒளிரும்	
00372111-a	tam:lemma	பழுப்பு	
00375969-a	tam:lemma	பச்சை	
00385756-a	tam:lemma	மஞ்சன்	
00385756-a	tam:lemma	மஞ்சள்	
00389310-a	tam:lemma	சாம்பல்	
00389310-a	tam:lemma	நிறம்	
00392812-a	tam:lemma	கருப்பு	
00393105-a	tam:lemma	வெள்ளை	
00395626-a	tam:lemma	சிவப்பு	
00438707-a	tam:lemma	நுண்ணறி	
00439588-a	tam:lemma	முட்டாள்	
00669021-a	tam:lemma	வழக்கற்றுப்போன	
00744916-a	tam:lemma	கடினம்	
01010862-a	tam:lemma	முதல்	
01123148-a	tam:lemma	நன்மை	
01251128-a	tam:lemma	குளுழு	
01251128-a	tam:lemma	பணி	
01326415-a	tam:lemma	இருபாலர்	
01382086-a	tam:lemma	பரு	
01382086-a	tam:lemma	பெரிய	
01391351-a	tam:lemma	சிறிய்	
01391351-a	tam:lemma	சிறிய	
01433493-a	tam:lemma	நீளமான	
01492394-a	tam:lemma	குழந்தைத்தனமான	
01646941-a	tam:lemma	இளைய	
01971846-a	tam:lemma	கேளிர்	
02021905-a	tam:lemma	பணக்கார	
02161432-a	tam:lemma	பாரதூரம்	
02174896-a	tam:lemma	எளிய	
02174896-a	tam:lemma	எளிது	
02174896-a	tam:lemma	எளிமையான	
02561888-a	tam:lemma	குறுகிய	
02569130-a	tam:lemma	சாது	
02923510-a	tam:lemma	முஸ்லிம்	
00007846-n	tam:lemma	ஆள்	
00007846-n	tam:lemma	நபர்	
00015388-n	tam:lemma	விலங்கு	
00017222-n	tam:lemma	செடி	
00021265-n	tam:lemma	சாப்பாடு	
00021265-n	tam:lemma	உணவு	
00034574-n	tam:lemma	அன்பு	
00062133-n	tam:lemma	புணர்ச்சிப்	
00062133-n	tam:lemma	பரவசநிலை	
00062133-n	tam:lemma	பாலின்ப	
00062133-n	tam:lemma	உச்சி	
00138221-n	tam:lemma	முத்தம்	
00154433-n	tam:lemma	ஆவணமாக்கம்	
00181781-n	tam:lemma	தேர்தல்	
00235435-n	tam:lemma	தொடங்கு	
00373278-n	tam:lemma	தொழிலிணையம்	
00428270-n	tam:lemma	ஆடல்	
00428270-n	tam:lemma	கூத்து	
00428270-n	tam:lemma	நடனம்	
00429048-n	tam:lemma	கேளிக்கை	
00452293-n	tam:lemma	வேட்டை	
00464894-n	tam:lemma	கோல்ஃப்	
00470966-n	tam:lemma	ரக்பி	
00480993-n	tam:lemma	கூடைப்பந்து	
00482298-n	tam:lemma	வரிப்பந்தாட்டம்	
00500449-n	tam:lemma	அசமடம்	
00501304-n	tam:lemma	ஸ்னூக்கர்	
00666232-n	tam:lemma	குடல்வால்	
00666232-n	tam:lemma	அறுவை	
00719705-n	tam:lemma	வேலை	
00747215-n	tam:lemma	போர்னோகிராபி	
00747215-n	tam:lemma	பாலுணர்வுக்	
00747215-n	tam:lemma	கிளர்ச்சியம்	
00757080-n	tam:lemma	பாவம்	
00758525-n	tam:lemma	பேராசை	
00759694-n	tam:lemma	பயங்கரவாதம்	
00766234-n	tam:lemma	குற்றம்	
00825192-n	tam:lemma	தற்காப்பு	
00826397-n	tam:lemma	கராத்தே	
00844254-n	tam:lemma	பாலுறவு	
00844254-n	tam:lemma	உடலுறவ	
00849294-n	tam:lemma	குதவழிப்	
00849294-n	tam:lemma	பாலுறவு	
00853835-n	tam:lemma	பாலுணர்வூட்டல்	
00854876-n	tam:lemma	வாய்வழிப்	
00854876-n	tam:lemma	பாலுறவு	
00855674-n	tam:lemma	சுய	
00855674-n	tam:lemma	இன்பம்	
00856847-n	tam:lemma	ஓரினச்சேர்க்கை	
00856847-n	tam:lemma	தற்பால்சேர்க்கை	
00857160-n	tam:lemma	இருபால்சேர்க்கை	
00857664-n	tam:lemma	எதிர்பால்சேர்க்கை	
00931721-n	tam:lemma	பேரகரமுதலி	
00953559-n	tam:lemma	சண்டை	
00973077-n	tam:lemma	போர்	
01015310-n	tam:lemma	அறுவடை	
01155044-n	tam:lemma	இனவாதம்	
01163779-n	tam:lemma	மரணதண்டனை	
01328702-n	tam:lemma	தீ	
01328702-n	tam:lemma	நுண்மம்	
01439514-n	tam:lemma	கெண்டைமீன்	
01439514-n	tam:lemma	சேல்	
01444339-n	tam:lemma	மின்	
01444339-n	tam:lemma	விலாங்குமீன்	
01482330-n	tam:lemma	சுறா	
01503061-n	tam:lemma	பறவை	
01577659-n	tam:lemma	மைனா	
01579028-n	tam:lemma	காகம்	
01613294-n	tam:lemma	எருவை	
01613294-n	tam:lemma	கங்கம்	
01621127-n	tam:lemma	ஆந்தை	
01639765-n	tam:lemma	தவளை	
01661091-n	tam:lemma	ஊர்வன	
01662784-n	tam:lemma	ஆமை	
01670092-n	tam:lemma	ஓடன்	
01670092-n	tam:lemma	ஆமை	
01674464-n	tam:lemma	பல்லி	
01697178-n	tam:lemma	முதலை	
01726692-n	tam:lemma	பாம்பு	
01747885-n	tam:lemma	நாகம்	
01747885-n	tam:lemma	நாகப்பாம்பு	
01772222-n	tam:lemma	சிலந்தி	
01792158-n	tam:lemma	சேவல்	
01792640-n	tam:lemma	கோழி	
01794158-n	tam:lemma	வான்கோழி	
01811909-n	tam:lemma	புறா	
01816887-n	tam:lemma	கிளி	
01823013-n	tam:lemma	குயில்	
01846331-n	tam:lemma	வாத்து	
01877134-n	tam:lemma	கங்காரு	
01895735-n	tam:lemma	தோல்	
01896031-n	tam:lemma	சிறகு	
01922303-n	tam:lemma	புழு	
01937909-n	tam:lemma	அட்டை	
02012849-n	tam:lemma	கொக்கு	
02062744-n	tam:lemma	சிலக்குணம்	
02062744-n	tam:lemma	சிலத்திற்கடுகு	
02084071-n	tam:lemma	நாய்	
02114100-n	tam:lemma	ஓநாய்	
02121620-n	tam:lemma	பூனை	
02128385-n	tam:lemma	சிறுத்தைப்புலி	
02129165-n	tam:lemma	சிங்கம்	
02129604-n	tam:lemma	புலி	
02131653-n	tam:lemma	கரடி	
02153959-n	tam:lemma	குளம்பு	
02164464-n	tam:lemma	வண்டு	
02190166-n	tam:lemma	ஈ	
02200198-n	tam:lemma	கொசு	
02206856-n	tam:lemma	தேட்குடிச்சி	
02206856-n	tam:lemma	தேனீ	
02207345-n	tam:lemma	இராணித்	
02207345-n	tam:lemma	தேனீ	
02219486-n	tam:lemma	எறும்பு	
02226970-n	tam:lemma	வெட்டுக்கிளி	
02268443-n	tam:lemma	தும்பி	
02274259-n	tam:lemma	வண்ணாத்திப்பூச்சி	
02274259-n	tam:lemma	பட்டாம்பூச்சி	
02324045-n	tam:lemma	முயல்	
02330245-n	tam:lemma	சுண்டெலி	
02374451-n	tam:lemma	குதிரை	
02389559-n	tam:lemma	கழுதை	
02395406-n	tam:lemma	பன்றி	
02395694-n	tam:lemma	பன்றிக்குட்டி	
02403454-n	tam:lemma	பசு	
02416519-n	tam:lemma	வெள்ளாடு	
02416519-n	tam:lemma	ஆடு	
02437136-n	tam:lemma	ஒட்டகம்	
02439033-n	tam:lemma	ஒட்டகச்சிவிங்கி	
02443346-n	tam:lemma	மரநாய்	
02443346-n	tam:lemma	வகை	
02469472-n	tam:lemma	தவளைக்குஞ்சு	
02472293-n	tam:lemma	மனிதன்	
02484322-n	tam:lemma	குறங்கு	
02503517-n	tam:lemma	யானை	
02512053-n	tam:lemma	மீன்	
02666196-n	tam:lemma	மணிச்சட்டம்	
02686568-n	tam:lemma	விமானம்	
02691156-n	tam:lemma	விமானம்	
02707683-n	tam:lemma	வலிநீக்கி	
02709367-n	tam:lemma	நங்கூரம்	
02725872-n	tam:lemma	பட்டடை	
02742753-n	tam:lemma	அம்பு	
02761392-n	tam:lemma	ரோபோ	
02777734-n	tam:lemma	பால்கனியில்	
02807731-n	tam:lemma	குளியலறை	
02818832-n	tam:lemma	படுக்கை	
02834778-n	tam:lemma	மிதிவண்டி	
02858304-n	tam:lemma	நவாடா	
02858304-n	tam:lemma	படகு	
02876657-n	tam:lemma	புட்டி	
02879718-n	tam:lemma	வில்	
02881193-n	tam:lemma	கிண்ணம்	
02897820-n	tam:lemma	செங்கல்	
02898711-n	tam:lemma	பாலம்	
02924116-n	tam:lemma	பேருந்து	
02924116-n	tam:lemma	பஸ்	
02930766-n	tam:lemma	டாக்ஸி	
02949691-n	tam:lemma	கஞ்சாவை	
02949691-n	tam:lemma	கஞ்சா	
02981792-n	tam:lemma	கட்டுமரம்	
02992211-n	tam:lemma	செலோ	
03001627-n	tam:lemma	கதிரை	
03028079-n	tam:lemma	தேவாலயம்	
03046257-n	tam:lemma	கடிகாரம்	
03046257-n	tam:lemma	கடிகை	
03074855-n	tam:lemma	சீப்பு	
03082979-n	tam:lemma	கணினி	
03100897-n	tam:lemma	கொண்டுவார்	
03110669-n	tam:lemma	ஊதுகொம்பு	
03112099-n	tam:lemma	தாழ்வாரம்	
03160309-n	tam:lemma	அணை	
03221720-n	tam:lemma	கதவு	
03234306-n	tam:lemma	ஓவியம்	
03234306-n	tam:lemma	படம்	
03234306-n	tam:lemma	கீறல்	
03259505-n	tam:lemma	வீடு	
03282295-n	tam:lemma	தூதரகம்	
03320046-n	tam:lemma	காத்தடி	
03354903-n	tam:lemma	கொடி	
03372029-n	tam:lemma	புல்லாங்குழல்	
03381126-n	tam:lemma	காலணி	
03447447-n	tam:lemma	கொண்டோலா	
03467517-n	tam:lemma	நரம்புக்கலம்	
03497182-n	tam:lemma	கஞ்சா	
03541923-n	tam:lemma	வெப்ப	
03541923-n	tam:lemma	காற்று	
03541923-n	tam:lemma	பலூன்	
03542333-n	tam:lemma	ஓட்டல்	
03544360-n	tam:lemma	வீடு	
03556281-n	tam:lemma	ஐப்யூபுரூஃபன்	
03584829-n	tam:lemma	அழுத்தி	
03595614-n	tam:lemma	கொசுவுசட்டை	
03613294-n	tam:lemma	சாலி	
03613294-n	tam:lemma	சாவி	
03621473-n	tam:lemma	காத்தாடி	
03623556-n	tam:lemma	கத்தி	
03632277-n	tam:lemma	ஏணி	
03661043-n	tam:lemma	நூலகம்	
03697913-n	tam:lemma	லுங்கி	
03697913-n	tam:lemma	சரம்	
03699975-n	tam:lemma	எந்திரம்	
03705379-n	tam:lemma	காந்தம்	
03728437-n	tam:lemma	தீக்குச்சி	
03740161-n	tam:lemma	மருந்து	
03744276-n	tam:lemma	நினைவகம்	
03776050-n	tam:lemma	பாதுகாப்பு	
03776050-n	tam:lemma	பள்ளம்	
03788195-n	tam:lemma	மசூதி	
03800933-n	tam:lemma	இசை	
03800933-n	tam:lemma	கருவி	
03865820-n	tam:lemma	ரத்து	
03865820-n	tam:lemma	செய்தல்	
03876519-n	tam:lemma	ஓவியம்	
03878294-n	tam:lemma	பல்லாக்கு	
03899328-n	tam:lemma	பாதை	
03910033-n	tam:lemma	பெனிசிலின்	
03928116-n	tam:lemma	பியானோ	
03932203-n	tam:lemma	துண்டு	
03938244-n	tam:lemma	தலையணை	
03963198-n	tam:lemma	தட்டு	
03982060-n	tam:lemma	குளம்	
03990025-n	tam:lemma	பின்நவீனத்துவம்	
04005630-n	tam:lemma	சிறை	
04005630-n	tam:lemma	சிறைச்சாலை	
04041544-n	tam:lemma	வானொலி	
04041544-n	tam:lemma	அலைபரப்பி	
04043733-n	tam:lemma	வானொலி	
04092609-n	tam:lemma	மோதிரம்	
04118776-n	tam:lemma	ஆட்சியாளர்	
04136161-n	tam:lemma	புடவை	
04148054-n	tam:lemma	கத்திரி	
04148054-n	tam:lemma	கத்தரிக்கோல்	
04194289-n	tam:lemma	கப்பல்	
04197391-n	tam:lemma	சட்டை	
04199027-n	tam:lemma	காலணி	
04202417-n	tam:lemma	கடை	
04213353-n	tam:lemma	ஓரளவு	
04213353-n	tam:lemma	சுகவீனமாய்	
04227144-n	tam:lemma	வரைப்பேனா	
04233124-n	tam:lemma	வானளாவி	
04238321-n	tam:lemma	பற்பிணை	
04240097-n	tam:lemma	சுண்டுவில்	
04253437-n	tam:lemma	சோப்பு	
04284002-n	tam:lemma	கரண்டி	
04290615-n	tam:lemma	ஸ்புட்னிக்	
04306847-n	tam:lemma	சிலை	
04306847-n	tam:lemma	உருவம்	
04334599-n	tam:lemma	வீதி	
04334599-n	tam:lemma	தெரு	
04373894-n	tam:lemma	வாள்	
04376876-n	tam:lemma	மருந்தூசி	
04379243-n	tam:lemma	மேசை	
04379243-n	tam:lemma	மேஜை	
