# Wiktionary	vie	http://wiktionary.org/	CC BY-SA
00039592-a	vie:lemma	bị	
00039592-a	vie:lemma	động	
00051045-a	vie:lemma	đủ	
00051045-a	vie:lemma	đầy	
00051045-a	vie:lemma	đủ	
00077645-a	vie:lemma	đáng	
00077645-a	vie:lemma	sợ	
00079629-a	vie:lemma	sợ	
00079629-a	vie:lemma	hãi	
00082241-a	vie:lemma	xâm	
00082241-a	vie:lemma	lược	
00095280-a	vie:lemma	chết	
00113818-a	vie:lemma	tức	
00113818-a	vie:lemma	giận	
00118567-a	vie:lemma	sống	
00173220-a	vie:lemma	có	
00173220-a	vie:lemma	thai	
00173220-a	vie:lemma	có	
00173220-a	vie:lemma	mang	
00173220-a	vie:lemma	thai	
00173220-a	vie:lemma	có	
00173220-a	vie:lemma	chửa	
00181476-a	vie:lemma	tự	
00181476-a	vie:lemma	động	
00186616-a	vie:lemma	thức	
00186616-a	vie:lemma	thức	
00186616-a	vie:lemma	dậy	
00203237-a	vie:lemma	đầu	
00210848-a	vie:lemma	trọc	
00210848-a	vie:lemma	hói	
00217728-a	vie:lemma	đẹp	
00217728-a	vie:lemma	đẽ	
00217728-a	vie:lemma	tốt	
00217728-a	vie:lemma	tốt	
00217728-a	vie:lemma	đẹp	
00217728-a	vie:lemma	đẹp	
00220082-a	vie:lemma	xinh	
00220082-a	vie:lemma	xắn	
00220956-a	vie:lemma	xấu	
00220956-a	vie:lemma	醜	
00248560-a	vie:lemma	đỏ	
00248560-a	vie:lemma	thắm	
00262792-a	vie:lemma	dũng	
00262792-a	vie:lemma	cảm	
00262792-a	vie:lemma	勇敢	
00269989-a	vie:lemma	sáng	
00269989-a	vie:lemma	sáng	
00269989-a	vie:lemma	sủa	
00273082-a	vie:lemma	tối	
00278551-a	vie:lemma	sáng	
00278551-a	vie:lemma	sáng	
00278551-a	vie:lemma	sủa	
00292937-a	vie:lemma	bận	
00292937-a	vie:lemma	rộn	
00294579-a	vie:lemma	lười	
00294579-a	vie:lemma	biếng	
00294579-a	vie:lemma	lười	
00298041-a	vie:lemma	xã	
00298041-a	vie:lemma	hội	
00298041-a	vie:lemma	chủ	
00298041-a	vie:lemma	nghĩa	
00298041-a	vie:lemma	社會主義	
00327031-a	vie:lemma	di	
00327031-a	vie:lemma	động	
00370869-a	vie:lemma	xanh	
00370869-a	vie:lemma	lam	
00375969-a	vie:lemma	xanh	
00375969-a	vie:lemma	cây	
00375969-a	vie:lemma	lục	
00379595-a	vie:lemma	màu	
00379595-a	vie:lemma	hồng	
00380312-a	vie:lemma	đỏ	
00380312-a	vie:lemma	tía	
00385756-a	vie:lemma	vàng	
